dataset_url,region,departement,epci,commune,comm
https://www.data.gouv.fr/fr/datasets/lieux-de-covoiturage-organisation-commune-de-saint-nabord/,GES,88,200068377,88429,Commune de Saint-Narbord avec 1 lieu lors de l'ajout
https://www.data.gouv.fr/fr/datasets/lieux-de-covoiturage-organisation-mairie-de-salles-dangles/,NAQ,16,200070514,16359,Commune de Salles d'Angles avec 1 lieu lors de l'ajout
https://www.data.gouv.fr/fr/datasets/lieux-de-covoiturage-a-la-ville-dantibes/,PAC,06,240600585,06004,Commune d'Antibes avec 2 lieux lors de l'ajout
https://www.data.gouv.fr/fr/datasets/lieux-de-covoiturage-organisation-halt-o-stop/,,,,,Plateforme HaltOStop avec 25 lieux lors de l'ajout
https://www.data.gouv.fr/fr/datasets/parkings-de-covoiturage-vinci-autoroutes/,,,,,VINCI Autoroutes avec 51 lieux lors de l'ajout
https://www.data.gouv.fr/fr/datasets/parkings-de-covoiturage/,GES,57,245701222,,Communauté de communes Val-de-Fensch avec 3 lieux lors de l'ajout
https://www.data.gouv.fr/fr/datasets/lieux-de-covoiturage-sur-la-ccpn-actuels/,HDF,60,246000756,,Communauté de communes du Pays Noyonnais avec 6 lieux lors de l'ajout
https://www.data.gouv.fr/fr/datasets/lieux-de-covoiturage-organisation-departement-du-loiret/,CVL,45,,,Département du Loiret avec 15 lieux lors de l'ajout
https://www.data.gouv.fr/fr/datasets/lieux-de-covoiturage-organisation-loir-en-vallee/,PDL,72,200070373,72262,Commune de Loir en Vallée avec 1 lieu lors de l'ajout
https://www.data.gouv.fr/fr/datasets/aire-de-covoiturage-du-grand-besancon/,BFC,25,242500361,,Grand Besançon Métropole avec 13 lieux lors de l'ajout
https://www.data.gouv.fr/fr/datasets/lieux-de-covoiturage-geres-par-le-departement-de-laube/,GES,10,,,Département de l'Aube avec 8 lieux lors de l'ajout
https://www.data.gouv.fr/fr/datasets/aire-de-covoiturage-eure-et-loir/,CVL,28,,,Département de l'Eure-et-Loir avec 1 lieu lors de l'ajout
https://www.data.gouv.fr/fr/datasets/lieux-de-covoiturage-departement-du-calvados/,NOR,14,,,Département du Calvados avec 37 lieux lors de l'ajout
https://www.data.gouv.fr/fr/datasets/point-dacces-covoiturage/,MAQ,33,243300316,,Bordeaux Métropole avec 67 lieux lors de l'ajout
https://www.data.gouv.fr/fr/datasets/lieux-de-covoiturage-de-la-ville-de-saint-quentin/,HDF,02,200071892,02691,Ville de Saint-Quentin avec 20 lieux lors de l'ajout
https://www.data.gouv.fr/fr/datasets/lieux-de-covoiturage-organisation-mairie-de-la-biolle/,ARA,73,200068674,73043,Ville de La Biolle avec 2 lieux lors de l'ajout
https://www.data.gouv.fr/fr/datasets/lieux-de-covoiturage-de-la-ca-gap-tallard-durance/,PAC,05,200067825,,Communauté d'agglomération Gap-Tallard-Durance avec 4 lieux lors de l'ajout
https://www.data.gouv.fr/fr/datasets/arret-sur-le-pouce-aire-de-covoiturage/,,,,,Mobicoop avec 4801 lieux lors de l'ajout
