"id_lieu","id_local","nom_lieu","ad_lieu","com_lieu","insee","type","date_maj","ouvert","source","Xlong","Ylat","nbre_pl","nbre_pmr","duree","horaires","proprio","lumiere","comm"
"12208-C-027","C-027","Stade Nautique Intercommunal","Boulevard de la Capelle","Saint-Affrique","12208","Auto-stop","2017-10-17","true","810157982","2.8922517","43.9522796","","","","","","true",""
"26290-C-001","C-001","Col du Rousset - But de Nève","","Saint-Agnan-en-Vercors","26290","Auto-stop","2019-06-13","true","810157982","5.4057560","44.8409640","","","","","","true",""
"26290-C-002","C-002","Col du Rousset - But Sapiau","","Saint-Agnan-en-Vercors","26290","Auto-stop","2019-06-13","true","810157982","5.4058150","44.8411350","","","","","","true",""
"26290-C-003","C-003","Saint-Agnan Cimetière","","Saint-Agnan-en-Vercors","26290","Auto-stop","2019-06-13","true","810157982","5.4302660","44.9361650","","","","","","true",""
"26290-C-004","C-004","Saint-Agnan - Ecole publique Rose Jarrand","","Saint-Agnan-en-Vercors","26290","Auto-stop","2019-06-13","true","810157982","5.4304093","44.9362430","","","","","","true",""
"26290-C-005","C-005","Rousset","","Saint-Agnan-en-Vercors","26290","Auto-stop","2019-06-13","true","810157982","5.4161520","44.8693440","","","","","","false",""
"58227-C-001","C-001","Bourg - Dir. Cosne","59 route de Cosne","Saint-Amand-en-Puisaye","58227","Auto-stop","2020-10-22","true","810157982","3.0680080","47.5286240","","","","","","true",""
"58227-C-002","C-002","Bourg - Dir. Saint-Fargeau","21-3 Route de Saint-Fargeau","Saint-Amand-en-Puisaye","58227","Auto-stop","2020-10-22","true","810157982","3.0717060","47.5332170","","","","","","true",""
"34239-C-001","C-001","accès RD4 (route de Lagamas) - rond-point échangeur A750","D4","Saint-André-de-Sangonis","34239","Auto-stop","2021-03-16","true","810157982","3.5209790","43.6538850","","","","","","false",""
"34239-C-002","C-002","RD619 - Rond-point entrée de ville - accès A750","5 Rue de la Lucque","Saint-André-de-Sangonis","34239","Auto-stop","2021-03-16","true","810157982","3.5215196","43.6528040","","","","","","false",""
"34239-C-003","C-003","Carrefour du monument aux morts","17 Avenue de Lodève","Saint-André-de-Sangonis","34239","Auto-stop","2021-03-15","true","810157982","3.5015496","43.6504235","","","","","","false",""
"34239-C-004","C-004","Ecoparc - hôtel d'entreprises Novel Id","2 Rue des Chênes Verts","Saint-André-de-Sangonis","34239","Auto-stop","2021-03-16","true","810157982","3.5220248","43.6521208","","","","","","false",""
"34239-C-005","C-005","Salle des fêtes","6 Fbg Sangonis","Saint-André-de-Sangonis","34239","Auto-stop","2021-03-15","true","810157982","3.5050840","43.6531130","","","","","","false",""
"34239-C-006","C-006","Route de Lagamas","4 Route de Lagamas","Saint-André-de-Sangonis","34239","Auto-stop","2021-03-15","true","810157982","3.5092456","43.6531814","","","","","","false",""
"34239-C-007","C-007","Cave Coopérative","Avenue de Montpellier","Saint-André-de-Sangonis","34239","Auto-stop","2021-03-15","true","810157982","3.5092722","43.6507916","","","","","","false",""
"34239-C-008","C-008","Cave coopérative - station service","109 Avenue de Montpellier","Saint-André-de-Sangonis","34239","Auto-stop","2021-03-15","true","810157982","3.5094943","43.6507118","","","","","","false",""
"34239-C-009","C-009","Route de Montpellier","","Saint-André-de-Sangonis","34239","Auto-stop","2021-03-15","true","810157982","3.5114508","43.6510847","","","","","","false",""
"34239-C-010","C-010","Ateliers municipaux - avenue Louis Pasteur","39B Rue de la République","Saint-André-de-Sangonis","34239","Auto-stop","2021-03-15","true","810157982","3.5121259","43.6495627","","","","","","false",""
"34239-C-011","C-011","Cimetière - Lotissement Lavergne (vers Clermont l'Hérault)","37 Avenue Jean Jaurès","Saint-André-de-Sangonis","34239","Auto-stop","2021-03-15","true","810157982","3.4961287","43.6487029","","","","","","false",""
"34239-C-012","C-012","RD619 - Rond-point entrée de ville - dir. centre ville","","Saint-André-de-Sangonis","34239","Auto-stop","2021-03-16","true","810157982","3.5204523","43.6529051","","","","","","false",""
"34239-C-013","C-013","Route de Cambous","49 Rue de Cambous","Saint-André-de-Sangonis","34239","Auto-stop","2021-03-15","true","810157982","3.4982103","43.6429966","","","","","","false",""
"34239-C-014","C-014","Cimetière/lotissement Lavergne (vers centre-ville)","","Saint-André-de-Sangonis","34239","Auto-stop","2021-03-15","true","810157982","3.4963446","43.6486005","","","","","","false",""
"34239-C-015","C-015","Avenue de Lodève 1","36 Avenue de Lodève","Saint-André-de-Sangonis","34239","Auto-stop","2021-03-15","true","810157982","3.5007164","43.6508128","","","","","","false",""
"40248-C-001","C-001","La Pipette","Route Départementale 817","Saint-André-de-Seignanx","40248","Auto-stop","2018-06-27","true","810157982","-1.3434150","43.5454720","","","","","","true",""
"40248-C-002","C-002","La Moulasse","Route de Saubrigues","Saint-André-de-Seignanx","40248","Auto-stop","2018-06-27","true","810157982","-1.3554680","43.5726470","","","","","","true",""
"40248-C-003","C-003","Cinq Cantons","Route des Cinq Cantons","Saint-André-de-Seignanx","40248","Auto-stop","2018-06-27","true","810157982","-1.3610980","43.5673240","","","","","","true",""
"40248-C-004","C-004","Mouliot","Route du Mouliot","Saint-André-de-Seignanx","40248","Auto-stop","2018-06-27","true","810157982","-1.3577610","43.5424640","","","","","","false",""
"40248-C-005","C-005","Mairie","Route du Bourg","Saint-André-de-Seignanx","40248","Auto-stop","2018-06-27","true","810157982","-1.3529390","43.5584240","","","","","","true",""
"40248-C-006","C-006","Mosaïque","Allée Camiade","Saint-André-de-Seignanx","40248","Auto-stop","2018-06-27","true","810157982","-1.3546690","43.5572150","","","","","","false",""
"40248-C-007","C-007","La Pipette","Nationale 117","Saint-André-de-Seignanx","40248","Auto-stop","2018-06-27","true","810157982","-1.3431700","43.5456930","","","","","","true",""
"12211-C-001","C-001","Saint-André-de-Vézines","Le Bourg","Saint-André-de-Vézines","12211","Auto-stop","2017-10-17","true","810157982","3.2595000","44.1514000","","","","","","false",""
"82155-C-001","C-001","Abribus rte de Caussade","","Saint-Antonin-Noble-Val","82155","Auto-stop","2017-10-17","true","810157982","1.7532166","44.1533966","","","","","","false",""
"82155-C-002","C-002","D115","","Saint-Antonin-Noble-Val","82155","Auto-stop","2017-10-17","true","810157982","1.7546770","44.1494245","","","","","","false",""
"82155-C-003","C-003","Gendarmerie","","Saint-Antonin-Noble-Val","82155","Auto-stop","2017-10-17","true","810157982","1.7581840","44.1505666","","","","","","false",""
"82155-C-004","C-004","Place des tilleuls","","Saint-Antonin-Noble-Val","82155","Auto-stop","2017-10-17","true","810157982","1.7567678","44.1533177","","","","","","false",""
"38362-C-001","C-001","Rossetière","Route de St Etienne de Crossey","Saint-Aupre","38362","Auto-stop","2019-06-20","true","810157982","5.6540680","45.3928090","","","","","","true",""
"38362-C-002","C-002","Village","Route du Tilleul","Saint-Aupre","38362","Auto-stop","2019-06-20","true","810157982","5.6698420","45.3980000","","","","","","true",""
"38362-C-003","C-003","Le chevalier","Route de Miribel","Saint-Aupre","38362","Auto-stop","2019-06-20","true","810157982","5.6694110","45.4055450","","","","","","false",""
"38362-C-004","C-004","Verdan","Route de Miribel","Saint-Aupre","38362","Auto-stop","2019-06-20","true","810157982","5.6639730","45.3994160","","","","","","true",""
"38362-C-005","C-005","Village","Route du Champtoraz","Saint-Aupre","38362","Auto-stop","2019-06-20","true","810157982","5.6706360","45.3994540","","","","","","true",""
"40251-C-001","C-001","Parking Adour La Palle","Route de l'Adour","Saint-Barthélemy","40251","Auto-stop","2018-06-27","true","810157982","-1.3310530","43.5048300","","","","","","true",""
"40251-C-002","C-002","Parking Mairie","Départementale 154","Saint-Barthélemy","40251","Auto-stop","2018-06-27","true","810157982","-1.3300200","43.5149590","","","","","","true",""
"34241-C-001","C-001","Place du Jeu de Ballon","5 Place du Jeu de Ballon","Saint-Bauzille-de-la-Sylve","34241","Auto-stop","2021-03-16","true","810157982","3.5463981","43.6170627","","","","","","false",""
"34241-C-002","C-002","Salle des Fêtes","18 Route de l'Apparition","Saint-Bauzille-de-la-Sylve","34241","Auto-stop","2021-03-16","true","810157982","3.5441321","43.6160190","","","","","","false",""
"34242-C-001","C-001","Favas","Intersection D1 / Rue des Orchidées","Saint-Bauzille-de-Montmel","34242","Auto-stop","2017-10-17","true","810157982","3.9788100","43.7676540","","","","","","true",""
"34242-C-002","C-002","Favas","Arrêt de bus ""Favas"", D1","Saint-Bauzille-de-Montmel","34242","Auto-stop","2017-10-17","true","810157982","3.9789020","43.7675800","","","","","","false",""
"34242-C-003","C-003","Route de Saint-Mathieu","Arrêt de bus ""Route de Saint-Mathieu"", D1","Saint-Bauzille-de-Montmel","34242","Auto-stop","2017-10-17","true","810157982","3.9501750","43.7698040","","","","","","true",""
"34242-C-004","C-004","Rue des Grilles","Rue des Grilles","Saint-Bauzille-de-Montmel","34242","Auto-stop","2017-10-17","true","810157982","3.9563170","43.7684830","","","","","","true",""
"34242-C-005","C-005","Rue du Languedoc","Rue du Languedoc","Saint-Bauzille-de-Montmel","34242","Auto-stop","2017-10-17","true","810157982","3.9573370","43.7702030","","","","","","true",""
"34242-C-006","C-006","Route de Sommières","Arrêt de bus ""Route de la Bénovie"", D1","Saint-Bauzille-de-Montmel","34242","Auto-stop","2017-10-17","true","810157982","3.9596590","43.7702650","","","","","","true",""
"34243-C-001","C-001","Aire de covoiturage","","Saint-Bauzille-de-Putois","34243","Auto-stop","2020-11-10","true","810157982","3.7406080","43.8876760","","","","","","false",""
"34243-C-002","C-002","Le Rieutord - Nord","Avenue du Chemin Neuf","Saint-Bauzille-de-Putois","34243","Auto-stop","2020-11-10","true","810157982","3.7378810","43.9028820","","","","","","false",""
"34243-C-003","C-003","Le Rieutord - Sud","Avenue du Chemin Neuf","Saint-Bauzille-de-Putois","34243","Auto-stop","2020-11-10","true","810157982","3.7376710","43.9026430","","","","","","false",""
"34243-C-004","C-004","Mairie - Nord","","Saint-Bauzille-de-Putois","34243","Auto-stop","2020-11-10","true","810157982","3.7379540","43.8948160","","","","","","false",""
"34243-C-005","C-005","Stade - Sud","","Saint-Bauzille-de-Putois","34243","Auto-stop","2020-11-10","true","810157982","3.7391950","43.8905880","","","","","","false",""
"34243-C-006","C-006","Mairie - Sud","","Saint-Bauzille-de-Putois","34243","Auto-stop","2020-11-10","true","810157982","3.7378620","43.8947830","","","","","","false",""
