dataset_url,region,departement,epci,commune,comm
https://www.data.gouv.fr/fr/datasets/lieux-de-covoiturage-organisation-microstop-1/,,,,,Microstop avec 5 lieux lors de l'ajout
https://www.data.gouv.fr/fr/datasets/recensement-des-aires-de-covoiturage-en-hauts-de-france/,HDF,,,,Région Hauts-de-France avec 33 lieux lors de l'ajout
https://www.data.gouv.fr/fr/datasets/lieux-de-covoiturage-sur-la-communaute-de-communes-de-serre-poncon/,PAC,05,200067742,,Communauté de communes de Serre-Ponçon avec 17 lieux lors de l'ajout
